NAME,NTEE_CD,Category,Location,lat_lon
THE DOLLS ORGANIZATION,N50,N,"2716 S 269TH ST, KENT, WA, 98032-8964","(-122.29799146465493, 47.3605656)"
MEMORY LANE MUSEUM OF GREATER YAKIMA,A50,A,"1511 S 1ST ST, YAKIMA, WA, 98901-3543","(-120.49547012342987, 46.583778055749036)"
SALISH SEA EARLY MUSIC FESTIVAL,A68,A,"13113 S WILDWOOD LN, ANACORTES, WA, 98221-6000","(-122.64806899332245, 48.45366)"
WASHINGTON STATE UNIVERSITY,O52,O,"328 W POPLAR ST, WALLA WALLA, WA, 99362-2830","(-118.34235160525799, 46.0633445843138)"
SEATTLE GOSPEL ASSEMBLY,X21,X,"11853 8TH AVE S, SEATTLE, WA, 98168-2107","(-122.3228765, 47.5290185)"
BUILDING BETTER FUTURES,T11,T,"600 ANDOVER PARK W, TUKWILA, WA, 98188-3326","(-122.25373594999999, 47.4499234)"
KING COUNTY COURT PROTECTION OFFICERS GUILD,J40,J,"4910 N 11TH ST, TACOMA, WA, 98406-3110","(-122.50256134693878, 47.259823408163264)"
GATHERING PLACE CHURCH,X21,X,"5705 47TH ST NE, MARYSVILLE, WA, 98270-7543","(-122.15208770000001, 48.038763700000004)"
RESPONSIBLE DEVELOPMENT,C30,C,"212 SEA PINES RD, BELLINGHAM, WA, 98229-9366","(-122.49780351506392, 48.70472051916828)"
WASHINGTON STATE NATURAL BODYBUILDING,N60,N,"6331 98TH PL NE, MARYSVILLE, WA, 98270-2439","(-122.14416477022667, 48.08393865)"
SEATTLE MYANMAR BUDDHIST ASSOCIATION,X50,X,"24625 104TH AVE SE, KENT, WA, 98030-4964","(-122.20285692701073, 47.3809538)"
MT BAKER CO-OP PRESCHOOL,B11,B,"4898 DEMING RD, DEMING, WA, 98244-0000","(-122.223138, 48.825185)"
SOUTHWEST WASHINGTON WIND SYMPHONY,A68,A,"12800 SE ANGUS ST, VANCOUVER, WA, 98683-3812","(-122.5409148904304, 45.6030285)"
NEW COMMUNITY CHURCH OF TACOMA,X21,X,"3102 S 23RD ST, TACOMA, WA, 98405-1606","(-122.47709396130573, 47.23674725)"
FARRIERS ASSOCIATION OF WASHINGTON STATE,S41,S,"26244 222ND PL SE, MAPLE VALLEY, WA, 98038-7424","(-122.04401399282496, 47.36553605)"
CENTER FOR EVOLUTIONARY LEARNING INC,X99,X,"7825 11TH AVE NE, SEATTLE, WA, 98115-4233","(-122.31656336886232, 47.686077749999995)"
OTHELLO CHURCH OF CHRIST,X21,X,"710 E LARCH ST, OTHELLO, WA, 99344-1438","(-119.16470649042644, 46.82404690948967)"
BERT JOHNSON CHARITABLE FOUNDATION TR UA 12202002,T22,T,"1081 26TH AVE E, SEATTLE, WA, 98112-3613","(-122.2994388, 47.629076749999996)"
DULUDE FAMILY FOUNDATION INC,T22J,T,"608 STATE STREET 100, KIRKLAND, WA, 98033-6602","(-122.2019113, 47.6705503)"
FAMILY PROCESS INSTITUTE INC,A33,A,"1815 E CALHOUN ST, SEATTLE, WA, 98112-2123","(-122.30815539709667, 47.6408226)"
WASHINGTON ELEMENTARY CHESS CHAMPIONS,B112,B,"2953 CROSSWATER LOOP, RICHLAND, WA, 99354-5011","(-119.3241294149139, 46.3189807093686)"
SEATTLE LIGHTHOUSE FOR THE BLIND FOUNDATION,P11,P,"2501 S PLUM ST, SEATTLE, WA, 98144-4711","(-122.29962655774082, 47.58505585)"
FAITH LUTHERAN FOUNDATION,P20,P,"9041 166TH AVE NE, REDMOND, WA, 98052-3709","(-122.119277, 47.68262063265306)"
GRANDVIEW VOLUNTEER FIREFIGHTERS ASSOCIATION,M40,M,"207 W 2ND ST, GRANDVIEW, WA, 98930-1360","(-119.90433, 46.254881)"
MARKET STREET SINGERS,A68,A,"4331 SW BEVERIDGE PL, SEATTLE, WA, 98136-1434","(-122.38857231526063, 47.54525605)"
OFF LEASH AREA-EDMONDS O L A E,D20,D,"498 ADMIRAL WAY, EDMONDS, WA, 98020-0000","(-122.3941171, 47.8042194)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"1004 S DIVISION ST, RITZVILLE, WA, 99169-2236","(-118.37013215681337, 47.12185089408802)"
