NAME,NTEE_CD,Category,Location,lat_lon
REGAL FOUNDATION,T21,T,"101 E BLOUNT AVENUE, KNOXVILLE, TN, 37920-1632","(-83.913601, 35.956151)"
CANNON COUNTY SAVE,P43,P,"167 SUNNY SLOPE RD, WOODBURY, TN, 37190-5952","(-86.08059411060131, 35.82087635994317)"
DREAM INTERFAITH MINISTRIES INC,P20,P,"6770 PLEASANT RIDGE RD, MILLINGTON, TN, 38053-8235","(-89.83757318195931, 35.300088483588596)"
CANE CREEK ELEMENTARY SCHOOL PTO,B94,B,"1500 W JACKSON ST, COOKEVILLE, TN, 38501-7105","(-85.529312, 36.165425)"
VIETNAM VETERANS OF AMERICA INC,W30Z,W,"9615 W RIDGE TRAIL RD, SODDY DAISY, TN, 37379-3939","(-85.16879154494006, 35.234239958414676)"
NASHVILLE MINISTRIES INC,X20,X,"415 FRANKLIN RD, FRANKLIN, TN, 37069-8207","(-86.84318987551364, 35.957628152371306)"
DUCKS UNLIMITED INC,C32Z,C,"1 WATERFOWL WAY, MEMPHIS, TN, 38120-2350","(-89.8080439, 35.1308209)"
HUGO DIXON FOUNDATION,T900,T,"4385 POPLAR AVE, MEMPHIS, TN, 38117-3715","(-89.91549555097647, 35.11975133299173)"
MEMAKON INC,B99,B,"704 BELVOIR AVE, CHATTANOOGA, TN, 37412-2604","(-85.244793, 35.008846)"
GENERATIONS OF VIRTUE,X80,X,"2040 MCAVOY DR, FRANKLIN, TN, 37064-1548","(-86.82418720516867, 35.89271477018311)"
CHARTER GROUP INC,L22,L,"7103 BAKER RD, MURFREESBORO, TN, 37129-2512","(-86.51970941775248, 35.91378278898785)"
SIGN OF THE DOVE CHURCH,X21,X,"284 PARKSTONE PL, JACKSON, TN, 38305-7585","(-88.77989924030625, 35.673088209384986)"
HIXSON HIGH SCHOOL FOOTBALL BOOSTERS CLUB,B112,B,"5705 MIDDLE VALLEY RD, HIXSON, TN, 37343-3267","(-85.22267845315527, 35.154620800000004)"
READ TO ACHIEVE,B99,B,"1408 JACKSON ST, NASHVILLE, TN, 37208-3011","(-86.79978784792003, 36.16814199834006)"
